"contributor","institute","sub.period","file"
"Sommer, Sven G.","Aarhus University, Aarhus Denmark","1, 2, 3",NA
"Sørensen, Lise Lotte","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_Aug_5_5_b.xlsx"
"Sørensen, Lise Lotte","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_JNK_2019_May_5_6_a.xlsx"
"Stefania Pindozzi","Department of Agricultural Sciences, University of Naples, Federico II","3","../../data-submitted/03/UNINA/ALFAM2_UNINA_5_6_1_ver6.xlsx"
"Støckler, Anna Holm","Aarhus University","3","../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_27_Jan.xlsx"
"Sven G. Sommer","Aarhus University, Denmark","3","../../data-submitted/03/AU/ALFAM2_template_6.1 SGS(Rev).xlsx"
"ten Huf, Martin","Faculty of Agricultural Sciences and Landscape Architecture, University of Applied Sciences Osnabrück","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
"Thomson, Rodney B.","","2",NA
"Valli, Laura","","1",NA
"van Boheemen, Koen","Wageningen University and Research, Wageningen, The Netherlands","3","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
"Vermeulen, Bert","","2",NA
"Vestergaard, Annette V.","","2",NA
"Vilms Pedersen, Simon","","2",NA
"Voylokov, Polina","","2",NA
"Voylokova, Polina","INRAE","3","../../data-submitted/03/INRAE/ALFAM2_template_8.0_META_METHA_Vf_v4.xlsx"
"Williams, John R.","","2",NA
"Zilio, Massimo","","3",NA
"Zutz, Mareike","Institute of Crop Science and Plant Breeding, Grass and Forage Science/Organic Agriculture, Christian-Albrechts-University Kiel","3","../../data-submitted/03/TI/ALFAM2_template_7.0_GülleBest_BW_HOH_20240415.xlsx"
